date,ticker,tweet_text
2024-12-16,KARW,Apakah kedepannya masih ada ruang naik dan ada diharga berapa target naik KARW jika dilihat dari sisi Elliott Wave Analysis Pembahasan selengkapnya bisa dibaca disini
2024-12-15,KARW,contohnya karw ya
2024-12-08,KARW,Shm Performa YTD saham Indo seperti KARW masih jauh lebih baik daripada Top 25 SP 500 NYSE dan Nasdaq lt King BEI
2024-12-06,KARW,Jadi backdoor listing ini sangat menarik Saham tahun ini yang fenomenal yakni KARW dan PANI Utk masuk Bursa Bisa lewat IPO Atau merger dan akusisi emitem yang sudah masuk di bursa saham Istilahnya kita sebut backdoor listing Mengapa ini dilakukan Untuk mempercepat
2024-11-25,KARW,KARW udah susah dapet barang
2024-11-11,KARW,KARW sekarang PANI 3 tahun yang lalu meratus line sedang proses merger amp akuisisi dengan ad ports untuk mengelola pelabuhan patimban dengan nilai transaksi 30T
2024-11-04,KARW,Bisa naik sampai berapa dan apakah sinyal perlawanan naik ini bisa melanjutkan lagi tren naik KARW yang sudah berjalan dari awal tahun Pembahasan selengkapnya bisa dibaca disini
2024-10-18,KARW,KARW ini saham apa dah anj masa iya back ath lagi cok wkwkw
2024-10-08,KARW,kangen liat KARW harga segini
2024-10-07,KARW,Kan ada beberapa emiten FCA yang bagger Contoh yang paling gokil ada KARW Sebenarnya yang paling enak itu emiten FCA yang barangnya kering dan mau ada kepentingan
2024-09-28,KARW,KARW kalau dibalikin ke gocap lagi edan sih wkkw
2024-09-27,KARW,Ya misalnya saham KARW yang abis naik ke Rp7000 an sekarang balik ke Rp1000 an lagi dalam waktu singkat Atau BREN yang fluktuasi dari 11ribuan sekarang di 7000 an Meski kedua saham itu sempat mencatatkan kenaikan yang signifikan
2024-09-26,KARW,Candlestick pattern ASGARD KARW ini yg punya barang udah sukses distribusi di setiap ARB
2024-09-13,KARW,Holder KARW ngelus dada
2024-09-09,KARW,Tolong dong mention kan 1 org yg udh berhasil jd milliarder dari KARW mau daftar jd murid
2024-09-07,KARW,Masukin karw di akhir bulan jadi 200M
2024-09-05,KARW,LABA susah masuk KARW susah keluar
2024-09-04,KARW,Yg beli KARW di pucuk lgi ketar ketir
2024-09-04,KARW,AD Ports dikabarkan batal akuisisi induk usaha KARW ShippingWatch melaporkan bahwa negosiasi antara grup Meratus induk usaha dari KARW dan AD Ports perusahaan pelabuhan asal Abu Dhabi telah berakhir tanpa kesepakatan
2024-09-04,KARW,saham KARW naik 15 ribu persen YTD Banyak ritel yang mencapai financial freedom berkat emiten ini shm
2024-09-04,KARW,Meratus dan AD Port akhirnya batalkan rencana penggabungan Holder KARW yang baru masuk gak nyenyak tidurnya nih
